[2021-07-10 16:51:54,341][MainThread:1772][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:54,341][MainThread:1772][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:54,342][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:54,422][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:51:54,424][MainThread:1772][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:51:54,425][MainThread:1772][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:51:54,426][MainThread:1772][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:51:54,426][MainThread:1772][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:51:54,447][MainThread:1772][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:54,448][MainThread:1772][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:54,449][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:54,528][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:51:54,530][MainThread:1772][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:51:54,531][MainThread:1772][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:51:54,531][MainThread:1772][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:51:54,532][MainThread:1772][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:51:54,542][MainThread:1772][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:54,543][MainThread:1772][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:54,544][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:54,623][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:51:54,624][MainThread:1772][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:51:54,625][MainThread:1772][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:51:54,626][MainThread:1772][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:51:54,627][MainThread:1772][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:51:54,637][MainThread:1772][task_id:interface_case][test_renovation.py:35][INFO][------------------专项整治相关接口测试结束----------------------]
[2021-07-10 16:53:06,706][MainThread:13216][task_id:interface_case][test_renovation.py:19][INFO][------------------专项整治相关接口测试开始----------------------]
[2021-07-10 16:53:06,709][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:53:06,804][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /uums/auth/token HTTP/1.1" 200 None]
[2021-07-10 16:53:06,808][MainThread:13216][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:53:06,809][MainThread:13216][task_id:interface_case][test_renovation.py:202][INFO][>>>>获取人员信息]
[2021-07-10 16:53:06,812][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:53:10,468][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/user/users HTTP/1.1" 200 None]
[2021-07-10 16:53:10,739][MainThread:13216][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:53:10,741][MainThread:13216][task_id:interface_case][test_renovation.py:209][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:53:10,742][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:53:10,822][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:53:10,825][MainThread:13216][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:53:10,826][MainThread:13216][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:53:10,827][MainThread:13216][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:53:10,828][MainThread:13216][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:53:10,844][MainThread:13216][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:53:10,844][MainThread:13216][task_id:interface_case][test_renovation.py:209][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:53:10,845][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
